"seqnames","start","end","width","strand","peak","feature","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","symbol"
"chr10",71137500,71138000,501,"*","640188","ENSG00000107731",71212570,71302864,"+","upstream",-75070,74570,"NearestLocation","UNC5B"
"chr10",71138000,71138500,501,"*","640189","ENSG00000107731",71212570,71302864,"+","upstream",-74570,74070,"NearestLocation","UNC5B"
"chr10",71138500,71139000,501,"*","640190","ENSG00000107731",71212570,71302864,"+","upstream",-74070,73570,"NearestLocation","UNC5B"
"chr10",71139000,71139500,501,"*","640191","ENSG00000107731",71212570,71302864,"+","upstream",-73570,73070,"NearestLocation","UNC5B"
"chr10",71139500,71140000,501,"*","640192","ENSG00000107731",71212570,71302864,"+","upstream",-73070,72570,"NearestLocation","UNC5B"
"chr10",71140000,71140500,501,"*","640193","ENSG00000107731",71212570,71302864,"+","upstream",-72570,72070,"NearestLocation","UNC5B"
"chr10",71140500,71141000,501,"*","640194","ENSG00000107731",71212570,71302864,"+","upstream",-72070,71570,"NearestLocation","UNC5B"
"chr10",71141000,71141500,501,"*","640195","ENSG00000107731",71212570,71302864,"+","upstream",-71570,71070,"NearestLocation","UNC5B"
"chr10",71141500,71142000,501,"*","640196","ENSG00000107731",71212570,71302864,"+","upstream",-71070,70570,"NearestLocation","UNC5B"
"chr10",71142000,71142500,501,"*","640197","ENSG00000107731",71212570,71302864,"+","upstream",-70570,70070,"NearestLocation","UNC5B"
"chr10",71142500,71143000,501,"*","640198","ENSG00000107731",71212570,71302864,"+","upstream",-70070,69570,"NearestLocation","UNC5B"
"chr10",71143000,71143500,501,"*","640199","ENSG00000107731",71212570,71302864,"+","upstream",-69570,69070,"NearestLocation","UNC5B"
"chr10",71143500,71144000,501,"*","640200","ENSG00000107731",71212570,71302864,"+","upstream",-69070,68570,"NearestLocation","UNC5B"
"chr10",71144000,71144500,501,"*","640201","ENSG00000107731",71212570,71302864,"+","upstream",-68570,68070,"NearestLocation","UNC5B"
"chr10",71144500,71145000,501,"*","640202","ENSG00000107731",71212570,71302864,"+","upstream",-68070,67570,"NearestLocation","UNC5B"
"chr10",71145000,71145500,501,"*","640203","ENSG00000107731",71212570,71302864,"+","upstream",-67570,67070,"NearestLocation","UNC5B"
"chr10",71145500,71146000,501,"*","640204","ENSG00000107731",71212570,71302864,"+","upstream",-67070,66570,"NearestLocation","UNC5B"
"chr10",71146000,71146500,501,"*","640205","ENSG00000107731",71212570,71302864,"+","upstream",-66570,66070,"NearestLocation","UNC5B"
"chr10",71146500,71147000,501,"*","640206","ENSG00000107731",71212570,71302864,"+","upstream",-66070,65570,"NearestLocation","UNC5B"
"chr10",71147000,71147500,501,"*","640207","ENSG00000107731",71212570,71302864,"+","upstream",-65570,65070,"NearestLocation","UNC5B"
"chr10",71147500,71148000,501,"*","640208","ENSG00000107731",71212570,71302864,"+","upstream",-65070,64570,"NearestLocation","UNC5B"
"chr10",71148000,71148500,501,"*","640209","ENSG00000107731",71212570,71302864,"+","upstream",-64570,64070,"NearestLocation","UNC5B"
"chr10",71148500,71149000,501,"*","640210","ENSG00000107731",71212570,71302864,"+","upstream",-64070,63570,"NearestLocation","UNC5B"
"chr10",71149000,71149500,501,"*","640211","ENSG00000107731",71212570,71302864,"+","upstream",-63570,63070,"NearestLocation","UNC5B"
"chr10",71149500,71150000,501,"*","640212","ENSG00000107731",71212570,71302864,"+","upstream",-63070,62570,"NearestLocation","UNC5B"
"chr10",71150000,71150500,501,"*","640213","ENSG00000107731",71212570,71302864,"+","upstream",-62570,62070,"NearestLocation","UNC5B"
"chr10",71150500,71151000,501,"*","640214","ENSG00000107731",71212570,71302864,"+","upstream",-62070,61570,"NearestLocation","UNC5B"
"chr10",71151000,71151500,501,"*","640215","ENSG00000107731",71212570,71302864,"+","upstream",-61570,61070,"NearestLocation","UNC5B"
"chr10",71151500,71152000,501,"*","640216","ENSG00000107731",71212570,71302864,"+","upstream",-61070,60570,"NearestLocation","UNC5B"
"chr10",71152000,71152500,501,"*","640217","ENSG00000107731",71212570,71302864,"+","upstream",-60570,60070,"NearestLocation","UNC5B"
"chr10",71152500,71153000,501,"*","640218","ENSG00000107731",71212570,71302864,"+","upstream",-60070,59570,"NearestLocation","UNC5B"
"chr10",71153000,71153500,501,"*","640219","ENSG00000107731",71212570,71302864,"+","upstream",-59570,59070,"NearestLocation","UNC5B"
"chr10",71153500,71154000,501,"*","640220","ENSG00000107731",71212570,71302864,"+","upstream",-59070,58570,"NearestLocation","UNC5B"
"chr10",71154000,71154500,501,"*","640221","ENSG00000107731",71212570,71302864,"+","upstream",-58570,58070,"NearestLocation","UNC5B"
"chr10",71154500,71155000,501,"*","640222","ENSG00000107731",71212570,71302864,"+","upstream",-58070,57570,"NearestLocation","UNC5B"
"chr10",71155000,71155500,501,"*","640223","ENSG00000107731",71212570,71302864,"+","upstream",-57570,57070,"NearestLocation","UNC5B"
"chr10",71155500,71156000,501,"*","640224","ENSG00000107731",71212570,71302864,"+","upstream",-57070,56570,"NearestLocation","UNC5B"
"chr10",71156000,71156500,501,"*","640225","ENSG00000107731",71212570,71302864,"+","upstream",-56570,56070,"NearestLocation","UNC5B"
"chr10",71156500,71157000,501,"*","640226","ENSG00000107731",71212570,71302864,"+","upstream",-56070,55570,"NearestLocation","UNC5B"
"chr10",71157000,71157500,501,"*","640227","ENSG00000107731",71212570,71302864,"+","upstream",-55570,55070,"NearestLocation","UNC5B"
"chr10",71157500,71158000,501,"*","640228","ENSG00000107731",71212570,71302864,"+","upstream",-55070,54570,"NearestLocation","UNC5B"
"chr10",71158000,71158500,501,"*","640229","ENSG00000107731",71212570,71302864,"+","upstream",-54570,54070,"NearestLocation","UNC5B"
"chr10",71158500,71159000,501,"*","640230","ENSG00000107731",71212570,71302864,"+","upstream",-54070,53570,"NearestLocation","UNC5B"
"chr10",71159000,71159500,501,"*","640231","ENSG00000107731",71212570,71302864,"+","upstream",-53570,53070,"NearestLocation","UNC5B"
"chr10",71159500,71160000,501,"*","640232","ENSG00000107731",71212570,71302864,"+","upstream",-53070,52570,"NearestLocation","UNC5B"
"chr10",71160000,71160500,501,"*","640233","ENSG00000107731",71212570,71302864,"+","upstream",-52570,52070,"NearestLocation","UNC5B"
"chr10",71160500,71161000,501,"*","640234","ENSG00000107731",71212570,71302864,"+","upstream",-52070,51570,"NearestLocation","UNC5B"
"chr10",71161000,71161500,501,"*","640235","ENSG00000107731",71212570,71302864,"+","upstream",-51570,51070,"NearestLocation","UNC5B"
"chr10",71161500,71162000,501,"*","640236","ENSG00000107731",71212570,71302864,"+","upstream",-51070,50570,"NearestLocation","UNC5B"
"chr10",71162000,71162500,501,"*","640237","ENSG00000107731",71212570,71302864,"+","upstream",-50570,50070,"NearestLocation","UNC5B"
"chr10",71163000,71163500,501,"*","640239","ENSG00000107731",71212570,71302864,"+","upstream",-49570,49070,"NearestLocation","UNC5B"
"chr10",71163500,71164000,501,"*","640240","ENSG00000107731",71212570,71302864,"+","upstream",-49070,48570,"NearestLocation","UNC5B"
"chr10",71164000,71164500,501,"*","640241","ENSG00000107731",71212570,71302864,"+","upstream",-48570,48070,"NearestLocation","UNC5B"
"chr10",71164500,71165000,501,"*","640242","ENSG00000107731",71212570,71302864,"+","upstream",-48070,47570,"NearestLocation","UNC5B"
"chr10",71165000,71165500,501,"*","640243","ENSG00000107731",71212570,71302864,"+","upstream",-47570,47070,"NearestLocation","UNC5B"
"chr10",71165500,71166000,501,"*","640244","ENSG00000107731",71212570,71302864,"+","upstream",-47070,46570,"NearestLocation","UNC5B"
"chr10",71166000,71166500,501,"*","640245","ENSG00000107731",71212570,71302864,"+","upstream",-46570,46070,"NearestLocation","UNC5B"
"chr10",71166500,71167000,501,"*","640246","ENSG00000107731",71212570,71302864,"+","upstream",-46070,45570,"NearestLocation","UNC5B"
"chr10",71167000,71167500,501,"*","640247","ENSG00000107731",71212570,71302864,"+","upstream",-45570,45070,"NearestLocation","UNC5B"
"chr10",71167500,71168000,501,"*","640248","ENSG00000107731",71212570,71302864,"+","upstream",-45070,44570,"NearestLocation","UNC5B"
"chr10",71168000,71168500,501,"*","640249","ENSG00000107731",71212570,71302864,"+","upstream",-44570,44070,"NearestLocation","UNC5B"
"chr10",71168500,71169000,501,"*","640250","ENSG00000107731",71212570,71302864,"+","upstream",-44070,43570,"NearestLocation","UNC5B"
"chr10",71169000,71169500,501,"*","640251","ENSG00000107731",71212570,71302864,"+","upstream",-43570,43070,"NearestLocation","UNC5B"
"chr10",71169500,71170000,501,"*","640252","ENSG00000107731",71212570,71302864,"+","upstream",-43070,42570,"NearestLocation","UNC5B"
"chr10",71170000,71170500,501,"*","640253","ENSG00000107731",71212570,71302864,"+","upstream",-42570,42070,"NearestLocation","UNC5B"
"chr10",71170500,71171000,501,"*","640254","ENSG00000107731",71212570,71302864,"+","upstream",-42070,41570,"NearestLocation","UNC5B"
"chr10",71171000,71171500,501,"*","640255","ENSG00000107731",71212570,71302864,"+","upstream",-41570,41070,"NearestLocation","UNC5B"
"chr10",71171500,71172000,501,"*","640256","ENSG00000107731",71212570,71302864,"+","upstream",-41070,40570,"NearestLocation","UNC5B"
"chr10",71172000,71172500,501,"*","640257","ENSG00000107731",71212570,71302864,"+","upstream",-40570,40070,"NearestLocation","UNC5B"
"chr10",71172500,71173000,501,"*","640258","ENSG00000107731",71212570,71302864,"+","upstream",-40070,39570,"NearestLocation","UNC5B"
"chr10",71173000,71173500,501,"*","640259","ENSG00000107731",71212570,71302864,"+","upstream",-39570,39070,"NearestLocation","UNC5B"
"chr10",71173500,71174000,501,"*","640260","ENSG00000107731",71212570,71302864,"+","upstream",-39070,38570,"NearestLocation","UNC5B"
"chr10",71174000,71174500,501,"*","640261","ENSG00000107731",71212570,71302864,"+","upstream",-38570,38070,"NearestLocation","UNC5B"
"chr10",71174500,71175000,501,"*","640262","ENSG00000107731",71212570,71302864,"+","upstream",-38070,37570,"NearestLocation","UNC5B"
"chr10",71175000,71175500,501,"*","640263","ENSG00000107731",71212570,71302864,"+","upstream",-37570,37070,"NearestLocation","UNC5B"
"chr10",71175500,71176000,501,"*","640264","ENSG00000107731",71212570,71302864,"+","upstream",-37070,36570,"NearestLocation","UNC5B"
"chr10",71176000,71176500,501,"*","640265","ENSG00000107731",71212570,71302864,"+","upstream",-36570,36070,"NearestLocation","UNC5B"
"chr10",71176500,71177000,501,"*","640266","ENSG00000107731",71212570,71302864,"+","upstream",-36070,35570,"NearestLocation","UNC5B"
"chr10",71177000,71177500,501,"*","640267","ENSG00000107731",71212570,71302864,"+","upstream",-35570,35070,"NearestLocation","UNC5B"
"chr10",71177500,71178000,501,"*","640268","ENSG00000107731",71212570,71302864,"+","upstream",-35070,34570,"NearestLocation","UNC5B"
"chr10",71178000,71178500,501,"*","640269","ENSG00000107731",71212570,71302864,"+","upstream",-34570,34070,"NearestLocation","UNC5B"
"chr10",71178500,71179000,501,"*","640270","ENSG00000107731",71212570,71302864,"+","upstream",-34070,33570,"NearestLocation","UNC5B"
"chr10",71179000,71179500,501,"*","640271","ENSG00000107731",71212570,71302864,"+","upstream",-33570,33070,"NearestLocation","UNC5B"
"chr10",71179500,71180000,501,"*","640272","ENSG00000107731",71212570,71302864,"+","upstream",-33070,32570,"NearestLocation","UNC5B"
"chr10",71180000,71180500,501,"*","640273","ENSG00000107731",71212570,71302864,"+","upstream",-32570,32070,"NearestLocation","UNC5B"
"chr10",71180500,71181000,501,"*","640274","ENSG00000107731",71212570,71302864,"+","upstream",-32070,31570,"NearestLocation","UNC5B"
"chr10",71181000,71181500,501,"*","640275","ENSG00000107731",71212570,71302864,"+","upstream",-31570,31070,"NearestLocation","UNC5B"
"chr10",71181500,71182000,501,"*","640276","ENSG00000107731",71212570,71302864,"+","upstream",-31070,30570,"NearestLocation","UNC5B"
"chr10",71182000,71182500,501,"*","640277","ENSG00000107731",71212570,71302864,"+","upstream",-30570,30070,"NearestLocation","UNC5B"
"chr10",71183000,71183500,501,"*","640279","ENSG00000107731",71212570,71302864,"+","upstream",-29570,29070,"NearestLocation","UNC5B"
"chr10",71183500,71184000,501,"*","640280","ENSG00000107731",71212570,71302864,"+","upstream",-29070,28570,"NearestLocation","UNC5B"
"chr10",71184000,71184500,501,"*","640281","ENSG00000107731",71212570,71302864,"+","upstream",-28570,28070,"NearestLocation","UNC5B"
"chr10",71184500,71185000,501,"*","640282","ENSG00000107731",71212570,71302864,"+","upstream",-28070,27570,"NearestLocation","UNC5B"
"chr10",71185000,71185500,501,"*","640283","ENSG00000107731",71212570,71302864,"+","upstream",-27570,27070,"NearestLocation","UNC5B"
"chr10",71185500,71186000,501,"*","640284","ENSG00000107731",71212570,71302864,"+","upstream",-27070,26570,"NearestLocation","UNC5B"
"chr10",71186000,71186500,501,"*","640285","ENSG00000107731",71212570,71302864,"+","upstream",-26570,26070,"NearestLocation","UNC5B"
"chr10",71186500,71187000,501,"*","640286","ENSG00000107731",71212570,71302864,"+","upstream",-26070,25570,"NearestLocation","UNC5B"
"chr10",71187000,71187500,501,"*","640287","ENSG00000107731",71212570,71302864,"+","upstream",-25570,25070,"NearestLocation","UNC5B"
"chr10",71187500,71188000,501,"*","640288","ENSG00000107731",71212570,71302864,"+","upstream",-25070,24570,"NearestLocation","UNC5B"
"chr10",71188000,71188500,501,"*","640289","ENSG00000107731",71212570,71302864,"+","upstream",-24570,24070,"NearestLocation","UNC5B"
"chr10",71188500,71189000,501,"*","640290","ENSG00000107731",71212570,71302864,"+","upstream",-24070,23570,"NearestLocation","UNC5B"
"chr10",71189000,71189500,501,"*","640291","ENSG00000107731",71212570,71302864,"+","upstream",-23570,23070,"NearestLocation","UNC5B"
"chr10",71189500,71190000,501,"*","640292","ENSG00000107731",71212570,71302864,"+","upstream",-23070,22570,"NearestLocation","UNC5B"
"chr10",71190000,71190500,501,"*","640293","ENSG00000107731",71212570,71302864,"+","upstream",-22570,22070,"NearestLocation","UNC5B"
"chr10",71190500,71191000,501,"*","640294","ENSG00000107731",71212570,71302864,"+","upstream",-22070,21570,"NearestLocation","UNC5B"
"chr10",71191000,71191500,501,"*","640295","ENSG00000107731",71212570,71302864,"+","upstream",-21570,21070,"NearestLocation","UNC5B"
"chr10",71191500,71192000,501,"*","640296","ENSG00000107731",71212570,71302864,"+","upstream",-21070,20570,"NearestLocation","UNC5B"
"chr10",71192000,71192500,501,"*","640297","ENSG00000107731",71212570,71302864,"+","upstream",-20570,20070,"NearestLocation","UNC5B"
"chr10",71193000,71193500,501,"*","640299","ENSG00000107731",71212570,71302864,"+","upstream",-19570,19070,"NearestLocation","UNC5B"
"chr10",71193500,71194000,501,"*","640300","ENSG00000107731",71212570,71302864,"+","upstream",-19070,18570,"NearestLocation","UNC5B"
"chr10",71194000,71194500,501,"*","640301","ENSG00000107731",71212570,71302864,"+","upstream",-18570,18070,"NearestLocation","UNC5B"
"chr10",71194500,71195000,501,"*","640302","ENSG00000107731",71212570,71302864,"+","upstream",-18070,17570,"NearestLocation","UNC5B"
"chr10",71195000,71195500,501,"*","640303","ENSG00000107731",71212570,71302864,"+","upstream",-17570,17070,"NearestLocation","UNC5B"
"chr10",71195500,71196000,501,"*","640304","ENSG00000107731",71212570,71302864,"+","upstream",-17070,16570,"NearestLocation","UNC5B"
"chr10",71196000,71196500,501,"*","640305","ENSG00000107731",71212570,71302864,"+","upstream",-16570,16070,"NearestLocation","UNC5B"
"chr10",71196500,71197000,501,"*","640306","ENSG00000107731",71212570,71302864,"+","upstream",-16070,15570,"NearestLocation","UNC5B"
"chr10",71197000,71197500,501,"*","640307","ENSG00000107731",71212570,71302864,"+","upstream",-15570,15070,"NearestLocation","UNC5B"
"chr10",71197500,71198000,501,"*","640308","ENSG00000107731",71212570,71302864,"+","upstream",-15070,14570,"NearestLocation","UNC5B"
"chr10",71198000,71198500,501,"*","640309","ENSG00000107731",71212570,71302864,"+","upstream",-14570,14070,"NearestLocation","UNC5B"
"chr10",71198500,71199000,501,"*","640310","ENSG00000107731",71212570,71302864,"+","upstream",-14070,13570,"NearestLocation","UNC5B"
"chr10",71199000,71199500,501,"*","640311","ENSG00000107731",71212570,71302864,"+","upstream",-13570,13070,"NearestLocation","UNC5B"
"chr10",71199500,71200000,501,"*","640312","ENSG00000107731",71212570,71302864,"+","upstream",-13070,12570,"NearestLocation","UNC5B"
"chr10",71200000,71200500,501,"*","640313","ENSG00000107731",71212570,71302864,"+","upstream",-12570,12070,"NearestLocation","UNC5B"
"chr10",71200500,71201000,501,"*","640314","ENSG00000107731",71212570,71302864,"+","upstream",-12070,11570,"NearestLocation","UNC5B"
"chr10",71201000,71201500,501,"*","640315","ENSG00000107731",71212570,71302864,"+","upstream",-11570,11070,"NearestLocation","UNC5B"
"chr10",71201500,71202000,501,"*","640316","ENSG00000107731",71212570,71302864,"+","upstream",-11070,10570,"NearestLocation","UNC5B"
"chr10",71202000,71202500,501,"*","640317","ENSG00000107731",71212570,71302864,"+","upstream",-10570,10070,"NearestLocation","UNC5B"
"chr10",71202500,71203000,501,"*","640318","ENSG00000107731",71212570,71302864,"+","upstream",-10070,9570,"NearestLocation","UNC5B"
"chr10",71203000,71203500,501,"*","640319","ENSG00000107731",71212570,71302864,"+","upstream",-9570,9070,"NearestLocation","UNC5B"
"chr10",71203500,71204000,501,"*","640320","ENSG00000107731",71212570,71302864,"+","upstream",-9070,8570,"NearestLocation","UNC5B"
"chr10",71204000,71204500,501,"*","640321","ENSG00000107731",71212570,71302864,"+","upstream",-8570,8070,"NearestLocation","UNC5B"
"chr10",71204500,71205000,501,"*","640322","ENSG00000107731",71212570,71302864,"+","upstream",-8070,7570,"NearestLocation","UNC5B"
"chr10",71205000,71205500,501,"*","640323","ENSG00000107731",71212570,71302864,"+","upstream",-7570,7070,"NearestLocation","UNC5B"
"chr10",71205500,71206000,501,"*","640324","ENSG00000107731",71212570,71302864,"+","upstream",-7070,6570,"NearestLocation","UNC5B"
"chr10",71206000,71206500,501,"*","640325","ENSG00000107731",71212570,71302864,"+","upstream",-6570,6070,"NearestLocation","UNC5B"
"chr10",71206500,71207000,501,"*","640326","ENSG00000107731",71212570,71302864,"+","upstream",-6070,5570,"NearestLocation","UNC5B"
"chr10",71207000,71207500,501,"*","640327","ENSG00000107731",71212570,71302864,"+","upstream",-5570,5070,"NearestLocation","UNC5B"
"chr10",71207500,71208000,501,"*","640328","ENSG00000107731",71212570,71302864,"+","upstream",-5070,4570,"NearestLocation","UNC5B"
"chr10",71208000,71208500,501,"*","640329","ENSG00000107731",71212570,71302864,"+","upstream",-4570,4070,"NearestLocation","UNC5B"
"chr10",71208500,71209000,501,"*","640330","ENSG00000107731",71212570,71302864,"+","upstream",-4070,3570,"NearestLocation","UNC5B"
"chr10",71209000,71209500,501,"*","640331","ENSG00000107731",71212570,71302864,"+","upstream",-3570,3070,"NearestLocation","UNC5B"
"chr10",71209500,71210000,501,"*","640332","ENSG00000107731",71212570,71302864,"+","upstream",-3070,2570,"NearestLocation","UNC5B"
"chr10",71210000,71210500,501,"*","640333","ENSG00000107731",71212570,71302864,"+","upstream",-2570,2070,"NearestLocation","UNC5B"
"chr10",71210500,71211000,501,"*","640334","ENSG00000107731",71212570,71302864,"+","upstream",-2070,1570,"NearestLocation","UNC5B"
"chr10",71211000,71211500,501,"*","640335","ENSG00000107731",71212570,71302864,"+","upstream",-1570,1070,"NearestLocation","UNC5B"
"chr10",71211500,71212000,501,"*","640336","ENSG00000107731",71212570,71302864,"+","upstream",-1070,570,"NearestLocation","UNC5B"
"chr10",71212000,71212500,501,"*","640337","ENSG00000107731",71212570,71302864,"+","upstream",-570,70,"NearestLocation","UNC5B"
"chr10",71212500,71213000,501,"*","640338","ENSG00000107731",71212570,71302864,"+","overlapStart",-70,70,"NearestLocation","UNC5B"
"chr10",71213000,71213500,501,"*","640339","ENSG00000107731",71212570,71302864,"+","inside",430,430,"NearestLocation","UNC5B"
"chr10",71213500,71214000,501,"*","640340","ENSG00000107731",71212570,71302864,"+","inside",930,930,"NearestLocation","UNC5B"
"chr10",71214000,71214500,501,"*","640341","ENSG00000107731",71212570,71302864,"+","inside",1430,1430,"NearestLocation","UNC5B"
"chr10",71214500,71215000,501,"*","640342","ENSG00000107731",71212570,71302864,"+","inside",1930,1930,"NearestLocation","UNC5B"
"chr10",71215000,71215500,501,"*","640343","ENSG00000107731",71212570,71302864,"+","inside",2430,2430,"NearestLocation","UNC5B"
"chr10",71215500,71216000,501,"*","640344","ENSG00000237512",71217224,71218228,"-","downstream",2728,1224,"NearestLocation","UNC5B-AS1"
"chr10",71216000,71216500,501,"*","640345","ENSG00000237512",71217224,71218228,"-","downstream",2228,724,"NearestLocation","UNC5B-AS1"
"chr10",71216500,71217000,501,"*","640346","ENSG00000237512",71217224,71218228,"-","downstream",1728,224,"NearestLocation","UNC5B-AS1"
"chr10",71217000,71217500,501,"*","640347","ENSG00000237512",71217224,71218228,"-","overlapEnd",1228,224,"NearestLocation","UNC5B-AS1"
"chr10",71217500,71218000,501,"*","640348","ENSG00000237512",71217224,71218228,"-","inside",728,228,"NearestLocation","UNC5B-AS1"
"chr10",71218000,71218500,501,"*","640349","ENSG00000237512",71217224,71218228,"-","overlapStart",228,228,"NearestLocation","UNC5B-AS1"
